init 1653015795792
Regular_callback1_latency 8.584000 0
Regular_callback2_latency 11.856000 0
Regular_callback3_latency 14.204000 0
Regular_callback1_latency 5.408000 1
Regular_callback2_latency 7.794000 1
Regular_callback3_latency 10.078000 1
Regular_callback1_latency 4.257000 2
Regular_callback2_latency 6.585000 2
Regular_callback3_latency 8.872000 2
Regular_callback1_latency 5.000000 3
Regular_callback2_latency 7.346000 3
Regular_callback3_latency 9.615000 3
Regular_callback1_latency 4.341000 4
Regular_callback2_latency 6.814000 4
Regular_callback3_latency 10.318000 4
Regular_callback1_latency 5.452000 5
Regular_callback2_latency 7.994000 5
Regular_callback3_latency 10.367000 5
Regular_callback1_latency 4.739000 6
Regular_callback2_latency 7.132000 6
Regular_callback3_latency 9.371000 6
Regular_callback1_latency 4.652000 7
Regular_callback2_latency 7.057000 7
Regular_callback3_latency 9.341000 7
Regular_callback1_latency 4.242000 8
Regular_callback2_latency 6.687000 8
Regular_callback3_latency 9.176000 8
Regular_callback1_latency 4.297000 9
Regular_callback2_latency 6.637000 9
Regular_callback3_latency 8.966000 9
Regular_callback1_latency 4.240000 10
Regular_callback2_latency 6.555000 10
Regular_callback3_latency 8.807000 10
Regular_callback1_latency 4.259000 11
Regular_callback2_latency 6.644000 11
Regular_callback3_latency 8.905000 11
Regular_callback1_latency 4.911000 12
Regular_callback2_latency 7.255000 12
Regular_callback3_latency 9.493000 12
Regular_callback1_latency 4.256000 13
Regular_callback2_latency 6.576000 13
Regular_callback3_latency 9.199000 13
Regular_callback1_latency 4.240000 14
Regular_callback2_latency 6.551000 14
Regular_callback3_latency 9.413000 14
Regular_callback1_latency 4.248000 15
Regular_callback2_latency 6.562000 15
Regular_callback3_latency 8.814000 15
Regular_callback1_latency 4.225000 16
Regular_callback2_latency 6.533000 16
Regular_callback3_latency 8.773000 16
Regular_callback1_latency 4.587000 17
Regular_callback2_latency 7.003000 17
Regular_callback3_latency 10.420000 17
Regular_callback1_latency 4.193000 18
Regular_callback2_latency 6.481000 18
Regular_callback3_latency 8.706000 18
Regular_callback1_latency 4.258000 19
Regular_callback2_latency 6.556000 19
Regular_callback3_latency 9.358000 19
Regular_callback1_latency 4.260000 20
Regular_callback2_latency 6.707000 20
Regular_callback3_latency 9.014000 20
Regular_callback1_latency 4.182000 21
Regular_callback2_latency 6.469000 21
Regular_callback3_latency 8.718000 21
Regular_callback1_latency 4.197000 22
Regular_callback2_latency 6.449000 22
Regular_callback3_latency 8.731000 22
Regular_callback1_latency 4.229000 23
Regular_callback2_latency 6.499000 23
Regular_callback3_latency 8.766000 23
Regular_callback1_latency 4.196000 24
Regular_callback2_latency 6.472000 24
Regular_callback3_latency 8.708000 24
Regular_callback1_latency 4.232000 25
Regular_callback2_latency 6.534000 25
Regular_callback3_latency 8.766000 25
Regular_callback1_latency 4.786000 26
Regular_callback2_latency 7.127000 26
Regular_callback3_latency 9.868000 26
Regular_callback1_latency 4.209000 27
Regular_callback2_latency 6.526000 27
Regular_callback3_latency 8.745000 27
Regular_callback1_latency 4.419000 28
Regular_callback2_latency 6.739000 28
Regular_callback3_latency 8.984000 28
Regular_callback1_latency 4.233000 29
Regular_callback2_latency 6.550000 29
Regular_callback3_latency 8.815000 29
Regular_callback1_latency 4.222000 30
Regular_callback2_latency 6.484000 30
Regular_callback3_latency 8.722000 30
Regular_callback1_latency 4.219000 31
Regular_callback2_latency 6.730000 31
Regular_callback3_latency 8.986000 31
Regular_callback1_latency 4.210000 32
Regular_callback2_latency 6.496000 32
Regular_callback3_latency 8.727000 32
Regular_callback1_latency 4.802000 33
Regular_callback2_latency 7.094000 33
Regular_callback3_latency 9.315000 33
Regular_callback1_latency 4.425000 34
Regular_callback2_latency 6.749000 34
Regular_callback3_latency 9.017000 34
Regular_callback1_latency 4.519000 35
Regular_callback2_latency 6.862000 35
Regular_callback3_latency 9.179000 35
Regular_callback1_latency 4.231000 36
Regular_callback2_latency 6.476000 36
Regular_callback3_latency 8.689000 36
Regular_callback1_latency 4.293000 37
Regular_callback2_latency 6.589000 37
Regular_callback3_latency 8.825000 37
Regular_callback1_latency 4.213000 38
Regular_callback2_latency 6.921000 38
Regular_callback3_latency 9.153000 38
Regular_callback1_latency 4.208000 39
Regular_callback2_latency 6.499000 39
Regular_callback3_latency 8.730000 39
Regular_callback1_latency 4.234000 40
Regular_callback2_latency 6.533000 40
Regular_callback3_latency 8.758000 40
Regular_callback1_latency 4.225000 41
Regular_callback2_latency 6.906000 41
Regular_callback3_latency 9.142000 41
Regular_callback1_latency 4.192000 42
Regular_callback2_latency 6.458000 42
Regular_callback3_latency 8.688000 42
Regular_callback1_latency 4.438000 43
Regular_callback2_latency 6.735000 43
Regular_callback3_latency 10.025000 43
Regular_callback1_latency 4.610000 44
Regular_callback2_latency 7.344000 44
Regular_callback3_latency 9.563000 44
Regular_callback1_latency 4.231000 45
Regular_callback2_latency 6.912000 45
Regular_callback3_latency 9.151000 45
Regular_callback1_latency 4.204000 46
Regular_callback2_latency 6.463000 46
Regular_callback3_latency 8.683000 46
Regular_callback1_latency 4.463000 47
Regular_callback2_latency 6.763000 47
Regular_callback3_latency 9.001000 47
Regular_callback1_latency 4.410000 48
Regular_callback2_latency 6.733000 48
Regular_callback3_latency 8.963000 48
Regular_callback1_latency 4.215000 49
Regular_callback2_latency 6.489000 49
Regular_callback3_latency 9.241000 49
Regular_callback1_latency 4.209000 50
Regular_callback2_latency 6.804000 50
Regular_callback3_latency 9.041000 50
