init 1652943990771
Regular_callback1_latency 27.938000 0
Regular_callback2_latency 43.321000 0
Regular_callback3_latency 55.960000 0
Regular_callback4_latency 24.343000 0
Regular_callback5_latency 38.923000 0
Regular_callback6_latency 51.487000 0
Regular_callback1_latency 25.006000 1
Regular_callback2_latency 37.673000 1
Regular_callback3_latency 51.870000 1
Regular_callback4_latency 24.977000 1
Regular_callback5_latency 37.765000 1
Regular_callback6_latency 51.610000 1
Regular_callback1_latency 25.958000 2
Regular_callback2_latency 40.652000 2
Regular_callback3_latency 55.290000 2
Regular_callback4_latency 26.513000 2
Regular_callback5_latency 40.393000 2
Regular_callback6_latency 52.814000 2
Regular_callback1_latency 26.401000 3
Regular_callback2_latency 40.196000 3
Regular_callback3_latency 54.762000 3
Regular_callback4_latency 25.303000 3
Regular_callback5_latency 38.050000 3
Regular_callback6_latency 50.379000 3
Regular_callback1_latency 25.732000 4
Regular_callback2_latency 41.324000 4
Regular_callback3_latency 54.805000 4
Regular_callback4_latency 23.785000 4
Regular_callback5_latency 36.182000 4
Regular_callback6_latency 48.463000 4
Regular_callback1_latency 23.300000 5
Regular_callback2_latency 35.946000 5
Regular_callback3_latency 49.706000 5
Regular_callback4_latency 26.445000 5
Regular_callback5_latency 38.880000 5
Regular_callback6_latency 52.975000 5
Regular_callback1_latency 24.038000 6
Regular_callback2_latency 36.630000 6
Regular_callback3_latency 51.229000 6
Regular_callback4_latency 26.977000 6
Regular_callback5_latency 41.196000 6
Regular_callback6_latency 53.596000 6
Regular_callback1_latency 25.292000 7
Regular_callback2_latency 39.160000 7
Regular_callback3_latency 51.953000 7
Regular_callback4_latency 24.458000 7
Regular_callback5_latency 36.877000 7
Regular_callback6_latency 51.212000 7
Regular_callback1_latency 24.707000 8
Regular_callback2_latency 37.608000 8
Regular_callback3_latency 51.161000 8
Regular_callback4_latency 23.297000 8
Regular_callback5_latency 35.599000 8
Regular_callback6_latency 48.723000 8
Regular_callback1_latency 23.252000 9
Regular_callback2_latency 35.661000 9
Regular_callback3_latency 48.136000 9
Regular_callback4_latency 24.203000 9
Regular_callback5_latency 36.861000 9
Regular_callback6_latency 49.338000 9
Regular_callback1_latency 22.607000 10
Regular_callback2_latency 34.105000 10
Regular_callback3_latency 45.593000 10
Regular_callback4_latency 21.668000 10
Regular_callback5_latency 34.226000 10
Regular_callback6_latency 45.700000 10
Regular_callback1_latency 23.281000 11
Regular_callback2_latency 35.903000 11
Regular_callback3_latency 51.176000 11
Regular_callback4_latency 23.818000 11
Regular_callback5_latency 36.290000 11
Regular_callback6_latency 48.783000 11
Regular_callback1_latency 23.696000 12
Regular_callback2_latency 35.885000 12
Regular_callback3_latency 48.202000 12
Regular_callback4_latency 23.202000 12
Regular_callback5_latency 35.439000 12
Regular_callback6_latency 47.811000 12
Regular_callback1_latency 23.472000 13
Regular_callback2_latency 35.769000 13
Regular_callback3_latency 48.303000 13
Regular_callback4_latency 23.833000 13
Regular_callback5_latency 36.377000 13
Regular_callback6_latency 48.751000 13
Regular_callback1_latency 23.429000 14
Regular_callback2_latency 35.803000 14
Regular_callback3_latency 48.364000 14
Regular_callback4_latency 23.377000 14
Regular_callback5_latency 35.709000 14
Regular_callback6_latency 48.076000 14
Regular_callback1_latency 23.460000 15
Regular_callback2_latency 36.046000 15
Regular_callback3_latency 48.999000 15
Regular_callback4_latency 23.564000 15
Regular_callback5_latency 35.730000 15
Regular_callback6_latency 47.950000 15
Regular_callback1_latency 25.167000 16
Regular_callback2_latency 38.145000 16
Regular_callback3_latency 52.444000 16
Regular_callback4_latency 23.592000 16
Regular_callback5_latency 36.761000 16
Regular_callback6_latency 49.010000 16
Regular_callback1_latency 26.672000 17
Regular_callback2_latency 41.671000 17
Regular_callback3_latency 57.477000 17
Regular_callback4_latency 23.627000 17
Regular_callback5_latency 36.668000 17
Regular_callback6_latency 48.964000 17
Regular_callback1_latency 27.628000 18
Regular_callback2_latency 41.595000 18
Regular_callback3_latency 55.237000 18
Regular_callback4_latency 24.722000 18
Regular_callback5_latency 38.918000 18
Regular_callback6_latency 51.036000 18
Regular_callback1_latency 27.209000 19
Regular_callback2_latency 42.979000 19
Regular_callback3_latency 56.581000 19
Regular_callback4_latency 23.524000 19
Regular_callback5_latency 35.996000 19
Regular_callback6_latency 48.333000 19
Regular_callback1_latency 23.231000 20
Regular_callback2_latency 36.372000 20
Regular_callback3_latency 49.245000 20
Regular_callback4_latency 23.884000 20
Regular_callback5_latency 35.759000 20
Regular_callback6_latency 47.528000 20
Regular_callback1_latency 23.299000 21
Regular_callback2_latency 31.275000 21
Regular_callback3_latency 39.030000 21
Regular_callback4_latency 14.409000 21
Regular_callback5_latency 21.839000 21
Regular_callback6_latency 29.039000 21
Regular_callback1_latency 13.968000 22
